52.33,3.2,9.29
52.33,3.25,8.65
52.33,3.3,5.74
52.33,3.37,8.73
52.33,3.45,12.73
52.33,3.47,0.35
52.33,3.5,5.21
52.33,3.67,5.96
52.33,3.93,6.04
52.33,3.97,5.73
52.33,4,3.48
52.33,4.13,6.54
52.3357,4.0123,10.4
52.3357,4.1783,12.3
52.35,2.75,11.34390244
52.35,3.43,7.96
52.35,3.45,7.81
52.35,3.67,8.63
52.35,3.98,12.09
52.35,4,14.48
52.37,2.13,1.57
52.37,2.23,10.3
52.37,3.42,15.59
52.37,4,3.6
52.38,2.58,5.7
52.38,2.83,13.5
52.38,3.27,10.11907574
52.38,3.38,9.6
52.38,4,13.4
52.4,1.78,8.62
52.4,2.43,15.54
52.4,2.8,7.383333333
52.4,2.82,6.19
52.4,2.87,9.1
52.4,3.07,0.21
52.4,3.4,12.99
52.4,3.5,3.5
52.4,3.65,9.8
52.4,4,2.75
52.4,4.03,7.02
52.4,4.12,10.11907574
52.42,2.27,8.82
52.42,2.67,4.45
52.42,2.73,10.4
52.42,3.6,13.4
52.42,3.72,0.21
52.42,3.75,10.5
52.42,4,8.03
52.43,1.88,6.4
52.43,2.57,11.9
52.43,2.82,10.6
52.43,2.97,9.6
52.43,3.95,8.96
52.45,2.63,10.11907574
52.45,3.45,8.5
52.45,3.47,11.35
52.47,1.75,12.58
52.47,3.2,5.94
52.47,3.27,8.15
52.47,3.3,8.34
52.47,3.33,5.9
52.47,3.85,15.215
52.47,3.97,13.9
52.47,4,12.8
52.48,2.33,5.6
52.48,3.17,10.1
52.48,3.18,6.82
52.48,3.23,15.72
52.48,4,11.8
52.48,4.12,11.49
52.48,4.15,14
52.5,1.92,12.7
52.5,2.17,13.6
52.5,2.33,7.3
52.5,2.55,15.61
52.5,2.67,6.735
52.5,2.8,5.8
52.5,2.95,15.33
52.5,3,8.83
52.5,3.33,6.9
52.5,3.37,9.26
52.5,3.45,11
52.5,3.52,9.4
52.5,3.57,13.4
52.5,3.67,1.14
52.5,3.75,6.51
52.5,4,13.6
52.5,4.03,13.54
52.5,4.08,6.7
52.5,4.2,12.7
52.5,4.27,12.29
52.5,4.28,10.18
52.5,4.3,14
52.5,4.33,4.02
52.5,4.45,10.11907574
52.5,4.5,6.6
52.5,4.52,7
52.52,3.03,7.2
52.52,3.67,11.50953787
52.52,3.83,11.3
52.52,3.85,14.3
52.52,4,12.2
52.52,4.35,7.5
52.52,4.52,11
52.53,2.63,7.15
52.53,2.83,9.2
52.53,2.9,8.1
52.53,2.95,10.6
52.53,3.08,10.1
52.53,3.33,11.8
52.53,3.42,9.75
52.53,3.67,13.7
52.53,3.8,10.4
52.53,4,9.2
52.55,3.33,12.6
52.55,3.38,11.76
52.55,3.4,11.5
52.55,3.58,9.466666667
52.55,3.67,8.7
52.55,4,12.15
52.57,2.37,6.7
52.57,3.03,7
52.57,3.08,7.4
52.57,3.13,8.45
52.57,3.17,13.7
52.57,3.33,10.68
52.57,3.38,10.11907574
52.57,3.42,12.39
52.57,3.67,7.17
52.57,3.88,7
52.57,4,8.145
52.58,2.53,6.37
52.58,2.8,13.77
52.58,3.18,7.61
52.58,3.33,7.96
52.58,3.58,6.9
52.58,3.67,7.4
52.58,4,12.3
52.6,1.77,13.81
52.6,2.07,10.11907574
52.6,2.83,6.01
52.6,2.93,5.28
52.6,3.05,14.19
52.6,3.33,13.6
52.6,3.43,6.3
52.6,4,14.2
52.6,4.03,6.1
52.62,2.83,11.9
52.62,2.95,5.6
52.62,3.33,10.11907574
52.62,4,12.77
52.63,1.93,6.24
52.63,2.73,8.9
52.63,2.83,13.7
52.63,2.92,14.44
52.63,3.33,10.9
52.63,3.42,10.11907574
52.63,3.45,10.1
52.63,3.67,10.5
52.63,3.78,5.4
52.63,3.82,7.9
52.63,4,6.9
52.63,4.08,7.4
52.63,4.43,13.8
52.65,1.83,12.8
52.65,2.07,9.9
52.65,2.33,9.4
52.65,2.35,7.8
52.65,2.53,10.25953787
52.65,2.77,11.7
52.65,2.83,13.8
52.65,3.33,8
52.65,3.48,8.8
52.65,4,11.5
52.6523,2.4977,11.4
52.669,4.4448,12.9
52.67,2,10.35
52.67,2.3,11.95
52.67,2.33,13.9
52.67,2.67,14.7
52.67,2.83,10
52.67,3.17,8.706358581
52.67,3.2,9.325
52.67,3.33,10.22976894
52.67,3.35,6.8
52.67,3.45,7.5
52.67,3.67,12.2
52.67,3.75,12.45
52.67,3.83,11.66666667
52.67,3.92,9.825
52.67,4,11.075
52.67,4.03,9.75
52.67,4.22,9.359537872
52.67,4.28,11.5
52.67,4.35,10.8
52.67,4.37,8
52.67,4.4,8.1
52.67,4.52,6.2
52.67,4.53,8.833333333
52.67,4.57,8.35
52.68,2.33,10.7
52.68,2.67,9.853179291
52.68,2.83,13.2
52.68,3.05,12.6
52.68,3.33,14.3
52.68,3.67,6.6
52.68,4,10.11907574
52.7,2.33,9.087630297
52.7,3.12,10.11907574
52.7,3.3,10.11907574
52.7,3.32,8.6
52.7,3.33,13.79
52.7,3.5,10.1
52.7,3.62,9.4
52.7,3.67,8.7
52.7,3.83,7
52.7,3.88,10.11907574
52.7,4,6.7
52.7,4.02,14.6
52.7023,3.879,10.5
52.72,2.33,13.1
